subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
6159,0.0000,0.0000,0.0003,0.0002,0.9972,0.0022,-7259071.7012,-3084386.9649,-7256014.2200,-3082093.8541
6649,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5715043.7300,-3157766.5121,-5711986.2489,-3155473.4012
6698,0.0001,0.0003,0.0025,0.0057,0.9591,0.0323,-5736446.0979,-3164645.8446,-5733388.6168,-3162352.7338
6258,0.0000,0.0000,0.0000,0.0000,0.0004,0.9995,-7289646.5125,-3105024.9626,-7286589.0314,-3102731.8517
7310,0.0005,0.0011,0.0034,0.0041,0.3389,0.6520,-5757848.4659,-3208214.9507,-5754790.9847,-3205921.8399
7210,0.0000,0.0000,0.0007,0.0042,0.9947,0.0003,-5751733.5036,-3185283.8423,-5748676.0225,-3182990.7314
7840,0.0393,0.6259,0.3025,0.0289,0.0023,0.0011,-5812883.1262,-3306818.7172,-5809825.6451,-3304525.6064
6111,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7277416.5880,-3072921.4107,-7274359.1068,-3070628.2998
6074,0.0000,0.0000,0.0000,0.0000,0.0004,0.9995,-7243784.2955,-3061455.8564,-7240726.8144,-3059162.7456
6553,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5693641.3621,-3146300.9578,-5690583.8810,-3144007.8470
6668,0.0000,0.0001,0.0039,0.0156,0.9797,0.0006,-5715043.7300,-3160059.6229,-5711986.2489,-3157766.5121
7626,0.0000,0.0004,0.0068,0.9396,0.0532,0.0000,-5794538.2394,-3274715.1653,-5791480.7583,-3272422.0545
7893,0.0000,0.0000,0.0000,0.0000,0.0001,0.9999,-5815940.6073,-3313698.0498,-5812883.1262,-3311404.9389
6062,0.0005,0.0031,0.0205,0.7442,0.2314,0.0002,-7259071.7012,-3059162.7456,-7256014.2200,-3056869.6348
6222,0.0078,0.0616,0.9144,0.0143,0.0015,0.0003,-7289646.5125,-3098145.6300,-7286589.0314,-3095852.5192
6594,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5687526.3998,-3150887.1795,-5684468.9187,-3148594.0687
7358,0.0000,0.0000,0.0003,0.0002,0.9972,0.0022,-5742561.0602,-3215094.2833,-5739503.5791,-3212801.1724
6318,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7280474.0691,-3116490.5168,-7277416.5880,-3114197.4060
7714,0.0001,0.0002,0.0018,0.0014,0.7646,0.2319,-5837342.9753,-3293060.0521,-5834285.4941,-3290766.9413
8207,0.0006,0.0015,0.0343,0.0804,0.8776,0.0056,-6008561.9186,-3533836.6912,-6005504.4375,-3531543.5803
6153,0.0010,0.0022,0.0052,0.0029,0.0243,0.9643,-7280474.0691,-3084386.9649,-7277416.5880,-3082093.8541
6392,0.0006,0.0013,0.0045,0.0043,0.2060,0.7834,-5718101.2112,-3132542.2927,-5715043.7300,-3130249.1819
6620,0.0004,0.0010,0.0064,0.0470,0.9423,0.0030,-5745618.5413,-3155473.4012,-5742561.0602,-3153180.2904
7258,0.0000,0.0000,0.0003,0.0002,0.9972,0.0022,-5739503.5791,-3192163.1748,-5736446.0979,-3189870.0639
6419,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5708928.7678,-3134835.4036,-5705871.2866,-3132542.2927
6598,0.0001,0.0003,0.0025,0.0057,0.9591,0.0323,-5751733.5036,-3153180.2904,-5748676.0225,-3150887.1795
6075,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7240726.8144,-3061455.8564,-7237669.3333,-3059162.7456
7432,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-5748676.0225,-3228852.9484,-5745618.5413,-3226559.8375
8192,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5987159.5507,-3529250.4695,-5984102.0696,-3526957.3586
7436,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-5736446.0979,-3228852.9484,-5733388.6168,-3226559.8375
6325,0.0001,0.0002,0.0027,0.0028,0.9671,0.0271,-7283531.5502,-3118783.6277,-7280474.0691,-3116490.5168
7497,0.0000,0.0001,0.0007,0.0086,0.9903,0.0003,-5791480.7583,-3247197.8352,-5788423.2772,-3244904.7243
7793,0.0005,0.0029,0.0689,0.7933,0.1342,0.0002,-5834285.4941,-3302232.4955,-5831228.0130,-3299939.3847
7588,0.0005,0.0031,0.0055,0.6304,0.3603,0.0002,-5794538.2394,-3267835.8328,-5791480.7583,-3265542.7219
6146,0.0000,0.0000,0.0000,0.0000,0.0004,0.9995,-7265186.6634,-3082093.8541,-7262129.1823,-3079800.7432
7636,0.0001,0.0003,0.0025,0.0057,0.9591,0.0323,-5794538.2394,-3277008.2762,-5791480.7583,-3274715.1653
6152,0.0000,0.0000,0.0003,0.0002,0.9972,0.0022,-7246841.7766,-3082093.8541,-7243784.2955,-3079800.7432
6611,0.0000,0.0000,0.0000,0.0000,0.0004,0.9995,-5711986.2489,-3153180.2904,-5708928.7678,-3150887.1795
7734,0.0000,0.0000,0.0003,0.0002,0.9972,0.0022,-5834285.4941,-3295353.1630,-5831228.0130,-3293060.0521
7816,0.0000,0.0000,0.0003,0.0002,0.9972,0.0022,-5825113.0507,-3304525.6064,-5822055.5696,-3302232.4955
8014,0.0000,0.0000,0.0000,0.0000,0.0004,0.9995,-5834285.4941,-3332042.9365,-5831228.0130,-3329749.8257
8083,0.0000,0.0000,0.0003,0.0001,0.9760,0.0236,-5834285.4941,-3345801.6016,-5831228.0130,-3343508.4908
6414,0.0001,0.0002,0.0005,0.0002,0.0545,0.9445,-5715043.7300,-3134835.4036,-5711986.2489,-3132542.2927
6471,0.0001,0.0002,0.0004,0.0003,0.0237,0.9753,-5690583.8810,-3137128.5144,-5687526.3998,-3134835.4036
7648,0.0000,0.0000,0.0000,0.0000,0.9998,0.0002,-5825113.0507,-3281594.4979,-5822055.5696,-3279301.3870
6338,0.0036,0.0185,0.9453,0.0234,0.0089,0.0002,-7262129.1823,-3121076.7385,-7259071.7012,-3118783.6277
6691,0.0001,0.0003,0.0004,0.0002,0.0023,0.9966,-5699756.3244,-3162352.7338,-5696698.8432,-3160059.6229
6123,0.0001,0.0003,0.0004,0.0002,0.0046,0.9944,-7259071.7012,-3075214.5215,-7256014.2200,-3072921.4107
7104,0.0001,0.0003,0.0004,0.0002,0.0023,0.9966,-5702813.8055,-3166938.9555,-5699756.3244,-3164645.8446
7451,0.0000,0.0000,0.0003,0.0002,0.9972,0.0022,-5776193.3526,-3233439.1701,-5773135.8715,-3231146.0592
7462,0.0000,0.0000,0.0000,0.0000,0.0004,0.9995,-5782308.3149,-3238025.3918,-5779250.8338,-3235732.2809
7339,0.0004,0.0010,0.0064,0.0470,0.9423,0.0030,-5754790.9847,-3212801.1724,-5751733.5036,-3210508.0616
