subject_id,priority1,priority2,priority3,priority4,priority5,no_priority,minx,miny,maxx,maxy
7444,0.0012,0.0271,0.0018,0.0347,0.9282,0.0071,0.0000,0.0000,0.0000,0.0000
6396,0.0001,0.0002,0.0001,0.0003,0.0578,0.9415,0.0000,0.0000,0.0000,0.0000
7827,0.0012,0.0271,0.0018,0.0347,0.9282,0.0071,0.0000,0.0000,0.0000,0.0000
6680,0.0295,0.8461,0.0033,0.1137,0.0073,0.0000,0.0000,0.0000,0.0000,0.0000
8286,0.0000,0.0000,0.0000,0.0000,0.0006,0.9993,0.0000,0.0000,0.0000,0.0000
8324,0.0000,0.0000,0.0000,0.0000,0.0006,0.9993,0.0000,0.0000,0.0000,0.0000
8191,0.0000,0.0000,0.0000,0.0000,0.0010,0.9989,0.0000,0.0000,0.0000,0.0000
5830,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
6353,0.0012,0.0271,0.0018,0.0347,0.9282,0.0071,0.0000,0.0000,0.0000,0.0000
5831,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
6533,0.0000,0.0000,0.0000,0.0000,0.0006,0.9993,0.0000,0.0000,0.0000,0.0000
5836,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5837,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5838,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5839,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
5840,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
7128,0.0006,0.1287,0.0009,0.8365,0.0332,0.0000,0.0000,0.0000,0.0000,0.0000
5844,0.0001,0.0008,0.0000,0.0008,0.0002,0.9980,0.0000,0.0000,0.0000,0.0000
5845,0.0001,0.0003,0.0000,0.0036,0.9859,0.0101,0.0000,0.0000,0.0000,0.0000
7971,0.0003,0.0022,0.0004,0.0282,0.9267,0.0423,0.0000,0.0000,0.0000,0.0000
8265,0.0001,0.0003,0.0000,0.0002,0.0036,0.9958,0.0000,0.0000,0.0000,0.0000
5846,0.0162,0.8649,0.0028,0.0262,0.0738,0.0161,0.0000,0.0000,0.0000,0.0000
5859,0.0001,0.0002,0.0001,0.0004,0.0948,0.9044,0.0000,0.0000,0.0000,0.0000
7134,0.0000,0.0000,0.0000,0.0000,0.0010,0.9989,0.0000,0.0000,0.0000,0.0000
6557,0.0007,0.0041,0.0002,0.0028,0.0315,0.9606,0.0000,0.0000,0.0000,0.0000
7689,0.0000,0.0000,0.0000,0.0000,0.0006,0.9993,0.0000,0.0000,0.0000,0.0000
8022,0.0029,0.8784,0.0135,0.0267,0.0782,0.0003,0.0000,0.0000,0.0000,0.0000
6558,0.0017,0.1680,0.0035,0.5870,0.2392,0.0006,0.0000,0.0000,0.0000,0.0000
6503,0.0002,0.0002,0.0000,0.0000,0.0011,0.9984,0.0000,0.0000,0.0000,0.0000
6692,0.0004,0.0025,0.0003,0.0040,0.2567,0.7360,0.0000,0.0000,0.0000,0.0000
6572,0.0004,0.0014,0.0002,0.0021,0.2819,0.7140,0.0000,0.0000,0.0000,0.0000
7132,0.0000,0.0000,0.0000,0.0000,0.0006,0.9993,0.0000,0.0000,0.0000,0.0000
7307,0.0000,0.0000,0.0000,0.0002,0.9976,0.0022,0.0000,0.0000,0.0000,0.0000
7660,0.0011,0.9934,0.0026,0.0026,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000
8339,0.0000,0.0001,0.0001,0.0004,0.2910,0.7083,0.0000,0.0000,0.0000,0.0000
5938,0.0000,0.0000,0.0000,0.0000,0.0002,0.9998,0.0000,0.0000,0.0000,0.0000
5855,0.0000,0.0001,0.0000,0.0001,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000
5856,0.0000,0.0001,0.0000,0.0001,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000
6609,0.0000,0.0001,0.0001,0.0003,0.9481,0.0515,0.0000,0.0000,0.0000,0.0000
5864,0.0000,0.0000,0.0000,0.0005,0.9989,0.0006,0.0000,0.0000,0.0000,0.0000
5865,0.0000,0.0000,0.0000,0.0005,0.9989,0.0006,0.0000,0.0000,0.0000,0.0000
5867,0.0000,0.0001,0.0000,0.0001,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000
5868,0.0000,0.0001,0.0000,0.0001,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000
5870,0.0000,0.0001,0.0000,0.0001,0.0000,0.9998,0.0000,0.0000,0.0000,0.0000
8125,0.0012,0.6754,0.0081,0.2804,0.0349,0.0000,0.0000,0.0000,0.0000,0.0000
8258,0.0000,0.0000,0.0000,0.0001,0.5701,0.4298,0.0000,0.0000,0.0000,0.0000
6662,0.0004,0.0079,0.0007,0.7242,0.2665,0.0003,0.0000,0.0000,0.0000,0.0000
6113,0.0015,0.0182,0.0005,0.0110,0.7886,0.1802,0.0000,0.0000,0.0000,0.0000
